Repository,Tag Name,Release Name,Published At (ISO),Published Date,Published Time,Author,Is Prerelease,Year,Month,Quarter,Month Name,Week Number,Day of Week (0=Sun),Day Name,Hour (0-23),Time Slot,Is Weekend,Season Quarter,Version Type,Release Type,Is Major Version,Is Patch Version,Is Hotfix,Days Since Epoch
daangn/stackflow,@stackflow/plugin-history-sync@1.5.0,@stackflow/plugin-history-sync@1.5.0,2024-05-22T08:10:53.000Z,2024-05-22,08:10:53,github-actions[bot],false,2024,5,2,May,21,3,Wednesday,17,work_afternoon,false,Q2_Spring,semantic,stable,false,false,false,19865
daangn/stackflow,@stackflow/react@1.1.9,@stackflow/react@1.1.9,2024-05-24T05:14:04.000Z,2024-05-24,05:14:04,github-actions[bot],false,2024,5,2,May,21,5,Friday,14,work_afternoon,false,Q2_Spring,semantic,stable,false,true,false,19867
daangn/stackflow,@stackflow/plugin-basic-ui@1.7.0,@stackflow/plugin-basic-ui@1.7.0,2024-05-28T01:17:17.000Z,2024-05-28,01:17:17,github-actions[bot],false,2024,5,2,May,22,2,Tuesday,10,work_morning,false,Q2_Spring,semantic,stable,false,false,false,19871
daangn/stackflow,@stackflow/core@1.0.11,@stackflow/core@1.0.11,2024-07-09T09:38:26.000Z,2024-07-09,09:38:26,github-actions[bot],false,2024,7,3,July,28,2,Tuesday,18,evening,false,Q3_Summer,semantic,stable,false,true,false,19913
daangn/stackflow,@stackflow/plugin-history-sync@1.5.1,@stackflow/plugin-history-sync@1.5.1,2024-07-09T09:38:29.000Z,2024-07-09,09:38:29,github-actions[bot],false,2024,7,3,July,28,2,Tuesday,18,evening,false,Q3_Summer,semantic,stable,false,true,false,19913
daangn/stackflow,@stackflow/core@1.0.12,@stackflow/core@1.0.12,2024-07-22T05:03:37.000Z,2024-07-22,05:03:37,github-actions[bot],false,2024,7,3,July,30,1,Monday,14,work_afternoon,false,Q3_Summer,semantic,stable,false,true,false,19926
daangn/stackflow,@stackflow/compat-await-push@1.1.9,@stackflow/compat-await-push@1.1.9,2024-07-22T05:03:40.000Z,2024-07-22,05:03:40,github-actions[bot],false,2024,7,3,July,30,1,Monday,14,work_afternoon,false,Q3_Summer,semantic,stable,false,true,false,19926
daangn/stackflow,@stackflow/link@1.4.1,@stackflow/link@1.4.1,2024-07-22T05:03:43.000Z,2024-07-22,05:03:43,github-actions[bot],false,2024,7,3,July,30,1,Monday,14,work_afternoon,false,Q3_Summer,semantic,stable,false,true,false,19926
daangn/stackflow,@stackflow/plugin-basic-ui@1.8.0,@stackflow/plugin-basic-ui@1.8.0,2024-07-22T05:03:46.000Z,2024-07-22,05:03:46,github-actions[bot],false,2024,7,3,July,30,1,Monday,14,work_afternoon,false,Q3_Summer,semantic,stable,false,false,false,19926
daangn/stackflow,@stackflow/plugin-google-analytics-4@1.1.11,@stackflow/plugin-google-analytics-4@1.1.11,2024-07-22T05:03:49.000Z,2024-07-22,05:03:49,github-actions[bot],false,2024,7,3,July,30,1,Monday,14,work_afternoon,false,Q3_Summer,semantic,stable,false,true,false,19926
