Repository,Tag Name,Release Name,Published At,Author,Is Prerelease,Year,Month,Week Number,Day of Week
daangn/stackflow,@stackflow/plugin-stack-depth-change@1.1.3,@stackflow/plugin-stack-depth-change@1.1.3,2024-07-22T05:04:10.000Z,github-actions[bot],false,2024,7,30,1
daangn/stackflow,@stackflow/react@1.1.10,@stackflow/react@1.1.10,2024-07-22T05:04:13.000Z,github-actions[bot],false,2024,7,30,1
daangn/stackflow,@stackflow/esbuild-config@1.0.2,@stackflow/esbuild-config@1.0.2,2024-07-22T05:04:16.000Z,github-actions[bot],false,2024,7,30,1
daangn/stackflow,@stackflow/plugin-history-sync@1.5.3,@stackflow/plugin-history-sync@1.5.3,2024-07-23T01:35:18.000Z,github-actions[bot],false,2024,7,30,2
daangn/stackflow,@stackflow/plugin-basic-ui@1.8.1,@stackflow/plugin-basic-ui@1.8.1,2024-07-24T03:50:38.000Z,github-actions[bot],false,2024,7,30,3
daangn/stackflow,@stackflow/compat-await-push@1.1.10,@stackflow/compat-await-push@1.1.10,2024-07-25T08:36:41.000Z,github-actions[bot],false,2024,7,30,4
daangn/stackflow,@stackflow/link@1.4.2,@stackflow/link@1.4.2,2024-07-25T08:36:44.000Z,github-actions[bot],false,2024,7,30,4
daangn/stackflow,@stackflow/plugin-basic-ui@1.8.2,@stackflow/plugin-basic-ui@1.8.2,2024-07-25T08:36:47.000Z,github-actions[bot],false,2024,7,30,4
daangn/stackflow,@stackflow/core@1.0.13,@stackflow/core@1.0.13,2024-07-25T08:36:50.000Z,github-actions[bot],false,2024,7,30,4
daangn/stackflow,@stackflow/plugin-google-analytics-4@1.1.12,@stackflow/plugin-google-analytics-4@1.1.12,2024-07-25T08:36:53.000Z,github-actions[bot],false,2024,7,30,4
daangn/stackflow,@stackflow/plugin-devtools@0.1.10,@stackflow/plugin-devtools@0.1.10,2024-07-25T08:36:56.000Z,github-actions[bot],false,2024,7,30,4
daangn/stackflow,@stackflow/plugin-history-sync@1.5.4,@stackflow/plugin-history-sync@1.5.4,2024-07-25T08:36:59.000Z,github-actions[bot],false,2024,7,30,4
daangn/stackflow,@stackflow/plugin-map-initial-activity@1.0.8,@stackflow/plugin-map-initial-activity@1.0.8,2024-07-25T08:37:02.000Z,github-actions[bot],false,2024,7,30,4
daangn/stackflow,@stackflow/plugin-preload@1.3.2,@stackflow/plugin-preload@1.3.2,2024-07-25T08:37:05.000Z,github-actions[bot],false,2024,7,30,4
daangn/stackflow,@stackflow/plugin-renderer-web@1.1.10,@stackflow/plugin-renderer-web@1.1.10,2024-07-25T08:37:08.000Z,github-actions[bot],false,2024,7,30,4
daangn/stackflow,@stackflow/plugin-stack-depth-change@1.1.4,@stackflow/plugin-stack-depth-change@1.1.4,2024-07-25T08:37:11.000Z,github-actions[bot],false,2024,7,30,4
daangn/stackflow,@stackflow/plugin-renderer-basic@1.1.10,@stackflow/plugin-renderer-basic@1.1.10,2024-07-25T08:37:14.000Z,github-actions[bot],false,2024,7,30,4
daangn/stackflow,@stackflow/react@1.1.11,@stackflow/react@1.1.11,2024-07-25T08:37:17.000Z,github-actions[bot],false,2024,7,30,4
daangn/stackflow,@stackflow/esbuild-config@1.0.3,@stackflow/esbuild-config@1.0.3,2024-07-25T08:37:20.000Z,github-actions[bot],false,2024,7,30,4
daangn/stackflow,@stackflow/compat-await-push@1.1.11,@stackflow/compat-await-push@1.1.11,2024-07-31T10:06:35.000Z,github-actions[bot],false,2024,7,31,3
daangn/stackflow,@stackflow/config@1.1.0,@stackflow/config@1.1.0,2024-07-31T10:06:38.000Z,github-actions[bot],false,2024,7,31,3
daangn/stackflow,@stackflow/link@1.4.3,@stackflow/link@1.4.3,2024-07-31T10:06:41.000Z,github-actions[bot],false,2024,7,31,3
daangn/stackflow,@stackflow/plugin-basic-ui@1.8.3,@stackflow/plugin-basic-ui@1.8.3,2024-07-31T10:06:44.000Z,github-actions[bot],false,2024,7,31,3
daangn/stackflow,@stackflow/plugin-google-analytics-4@1.1.13,@stackflow/plugin-google-analytics-4@1.1.13,2024-07-31T10:06:47.000Z,github-actions[bot],false,2024,7,31,3
daangn/stackflow,@stackflow/plugin-history-sync@1.6.0,@stackflow/plugin-history-sync@1.6.0,2024-07-31T10:06:50.000Z,github-actions[bot],false,2024,7,31,3
daangn/stackflow,@stackflow/plugin-map-initial-activity@1.0.9,@stackflow/plugin-map-initial-activity@1.0.9,2024-07-31T10:06:53.000Z,github-actions[bot],false,2024,7,31,3
daangn/stackflow,@stackflow/plugin-preload@1.3.3,@stackflow/plugin-preload@1.3.3,2024-07-31T10:06:56.000Z,github-actions[bot],false,2024,7,31,3
daangn/stackflow,@stackflow/plugin-renderer-basic@1.1.11,@stackflow/plugin-renderer-basic@1.1.11,2024-07-31T10:06:59.000Z,github-actions[bot],false,2024,7,31,3
daangn/stackflow,@stackflow/plugin-renderer-web@1.1.11,@stackflow/plugin-renderer-web@1.1.11,2024-07-31T10:07:02.000Z,github-actions[bot],false,2024,7,31,3
daangn/stackflow,@stackflow/react@1.2.0,@stackflow/react@1.2.0,2024-07-31T10:07:05.000Z,github-actions[bot],false,2024,7,31,3
daangn/stackflow,@stackflow/react@1.2.1,@stackflow/react@1.2.1,2024-07-31T12:47:28.000Z,github-actions[bot],false,2024,7,31,3
daangn/stackflow,@stackflow/plugin-basic-ui@1.8.4,@stackflow/plugin-basic-ui@1.8.4,2024-08-02T01:22:03.000Z,github-actions[bot],false,2024,8,31,5
